PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE_BIN,PRICE_BIN_RANGE,PRICE_BIN_ALT,PRICE_BIN_ALT_RANGE
Condo/Co-op,650 Columbia Rd #1,Boston,MA,2125,445000,3.0,1.0,Dorchesters Uphams Corner,1297.0,22240.687812649434,1907.0,3,343.0,200.0,42.318819,-71.0637193,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Condo/Co-op,125 Hart St Unit 3B,Taunton,MA,2780,329900,3.0,1.5,Taunton,1600.0,26370.766144160018,2018.0,4,206.0,248.0,41.88428029999999,-71.06871770000001,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,5 Federal St,Wilmington,MA,1887,599900,3.0,2.5,Wilmington,1964.0,17000.0,1960.0,4,305.0,0.0,42.5616425,-71.15815009999999,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,10 Greenhouse Way,Randolph,MA,2368,589000,4.0,3.5,Randolph,2969.0,18416.0,2002.0,4,198.0,0.0,42.169827500000004,-71.06753540000001,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,22 Temple St,Reading,MA,1867,759900,3.0,2.5,Reading,2470.0,7378.0,1916.0,4,308.0,0.0,42.5220593,-71.11340229999999,15,"(750000, 800000]",6,"(635980.0, 777000.0]"
Condo/Co-op,181 Warren Ave #4,Boston,MA,2116,679000,1.0,1.0,South End,613.0,613.0,1899.0,5,1108.0,276.0,42.3439271,-71.07660759999999,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Condo/Co-op,699 Hyde Park Ave #3,Boston,MA,2131,349900,2.0,1.0,Roslindale,743.0,743.0,1920.0,5,471.0,250.0,42.2764739,-71.1200428,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Condo/Co-op,20 Spring Garden St #1,Boston,MA,2125,574900,2.0,2.0,Dorchesters Savin Hill,1036.0,1036.0,1905.0,5,555.0,260.0,42.318031299999994,-71.0530663,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Condo/Co-op,7 Church St #3,Somerville,MA,2143,599000,2.0,1.0,Somerville,927.0,17197.357836877432,1900.0,5,646.0,195.0,42.3807417,-71.10079759999999,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,134 Orvis Rd,Revere,MA,2151,469900,4.0,1.5,Revere,1080.0,4750.0,1950.0,5,435.0,0.0,42.4252695,-71.0137814,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Townhouse,21 Hall St #1,Waltham,MA,2453,749900,3.0,2.5,Waltham,2208.0,34658.18405029347,2015.0,5,340.0,200.0,42.370362899999996,-71.2349982,14,"(700000, 750000]",6,"(635980.0, 777000.0]"
Condo/Co-op,147 Hillside Rd #1,Watertown,MA,2472,524900,2.0,1.5,East Watertown,1258.0,5149.0,1920.0,5,417.0,113.0,42.375721,-71.1614498,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,276 Ridge St,Millis,MA,2054,584900,3.0,2.0,Millis,2688.0,75794.0,1979.0,11,218.0,0.0,42.1922578,-71.37598929999999,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,2 Farmstead Way,Littleton,MA,1460,619900,3.0,2.5,Littleton,2752.0,44867.0,1996.0,12,225.0,0.0,42.5484346,-71.4672493,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
Single Family Residential,37 Myrtle St,Millis,MA,2054,539000,3.0,1.5,Rockville,1469.0,101930.0,1970.0,18,367.0,0.0,42.1338144,-71.36184240000001,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,18 Coolidge St,Tewksbury,MA,1876,609900,3.0,2.5,Tewksbury,1608.0,4375.0,2019.0,26,379.0,0.0,42.5755491,-71.2147098,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
Single Family Residential,262 Glen Rd,Weston,MA,2493,1365000,4.0,5.0,Weston,3897.0,20099.0,1915.0,46,350.0,0.0,42.325586,-71.286023,27,"(1350000, 1400000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,999 Hancock St #308,Quincy,MA,2169,429900,1.0,1.0,Quincy Center,749.0,14771.107199884413,2017.0,67,574.0,233.0,42.2575886,-71.00869449999999,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Single Family Residential,260 Ridge St,Millis,MA,2054,649000,4.0,3.5,Millis,3766.0,109771.0,1958.0,69,172.0,0.0,42.1903815,-71.3731363,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
