SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,650 Columbia Rd #1,Boston,MA,2125,445000,3,1,Dorchester's Uphams Corner,1297,,1907,3,343,200,Active,,,http://www.redfin.com/MA/Boston/650-Columbia-Rd-02125/unit-1/home/145353442,MLS PIN,72616901,N,Y,42.318819,-71.0637193
MLS Listing,,Condo/Co-op,125 Hart St Unit 3B,Taunton,MA,2780,329900,3,1.5,Taunton,1600,,2018,4,206,248,Active,,,http://www.redfin.com/MA/Taunton/125-Hart-St-02780/unit-3B/home/146201533,MLS PIN,72616541,N,Y,41.8842803,-71.0687177
MLS Listing,,Single Family Residential,5 Federal St,Wilmington,MA,1887,599900,3,2.5,Wilmington,1964,17000,1960,4,305,,Active,,,http://www.redfin.com/MA/Wilmington/5-Federal-St-01887/home/11698379,MLS PIN,72616409,N,Y,42.5616425,-71.1581501
MLS Listing,,Single Family Residential,10 Greenhouse Way,Randolph,MA,2368,589000,4,3.5,Randolph,2969,18416,2002,4,198,,Active,,,http://www.redfin.com/MA/Randolph/10-Green-House-Way-02368/home/11741178,MLS PIN,72616330,N,Y,42.1698275,-71.0675354
MLS Listing,,Single Family Residential,22 Temple St,Reading,MA,1867,759900,3,2.5,Reading,2470,7378,1916,4,308,,Active,,,http://www.redfin.com/MA/Reading/22-Temple-St-01867/home/8681746,MLS PIN,72616298,N,Y,42.5220593,-71.1134023
MLS Listing,,Condo/Co-op,181 Warren Ave #4,Boston,MA,2116,679000,1,1,South End,613,613,1899,5,1108,276,Active,,,http://www.redfin.com/MA/Boston/181-Warren-Ave-02116/unit-4/home/9329467,MLS PIN,72616049,N,Y,42.3439271,-71.0766076
MLS Listing,,Condo/Co-op,699 Hyde Park Ave #3,Boston,MA,2131,349900,2,1,Roslindale,743,743,1920,5,471,250,Active,,,http://www.redfin.com/MA/Boston/699-Hyde-Park-Ave-02131/unit-3/home/11741152,MLS PIN,72616022,N,Y,42.2764739,-71.1200428
MLS Listing,,Condo/Co-op,20 Spring Garden St #1,Boston,MA,2125,574900,2,2,Dorchester's Savin Hill,1036,1036,1905,5,555,260,Active,,,http://www.redfin.com/MA/Boston/20-Spring-Garden-St-02125/unit-1/home/18995455,MLS PIN,72615976,N,Y,42.3180313,-71.0530663
MLS Listing,,Condo/Co-op,7 Church St #3,Somerville,MA,2143,599000,2,1,Somerville,927,,1900,5,646,195,Active,,,http://www.redfin.com/MA/Somerville/7-Church-St-02143/unit-3/home/66763988,MLS PIN,72615900,N,Y,42.3807417,-71.1007976
MLS Listing,,Single Family Residential,134 Orvis Rd,Revere,MA,2151,469900,4,1.5,Revere,1080,4750,1950,5,435,,Active,,,http://www.redfin.com/MA/Revere/134-Orvis-Rd-02151/home/11741823,MLS PIN,72615779,N,Y,42.4252695,-71.0137814
MLS Listing,,Townhouse,21 Hall St #1,Waltham,MA,2453,749900,3,2.5,Waltham,2208,,2015,5,340,200,Active,,,http://www.redfin.com/MA/Waltham/21-Hall-St-02453/unit-1/home/56798136,MLS PIN,72615738,N,Y,42.3703629,-71.2349982
MLS Listing,,Condo/Co-op,147 Hillside Rd #1,Watertown,MA,2472,524900,2,1.5,East Watertown,1258,5149,1920,5,417,113,Active,,,http://www.redfin.com/MA/Watertown/147-Hillside-Rd-02472/unit-1/home/11700258,MLS PIN,72615735,N,Y,42.375721,-71.1614498
MLS Listing,,Single Family Residential,40 Lois Ave,Providence,RI,2908,299900,3,1.5,Elmhurst,2030,7500,1935,6,148,,Active,,,http://www.redfin.com/RI/Providence/40-Lois-Ave-02908/home/51710441,RIS,1246038,N,Y,41.8427451,-71.4499342
MLS Listing,,Single Family Residential,276 Ridge St,Millis,MA,2054,584900,3,2,Millis,2688,75794,1979,11,218,,Active,,,http://www.redfin.com/MA/Millis/276-Ridge-St-02054/home/11484877,MLS PIN,72613640,N,Y,42.1922578,-71.3759893
MLS Listing,,Single Family Residential,2 Farmstead Way,Littleton,MA,1460,619900,3,2.5,Littleton,2752,44867,1996,12,225,,Active,,,http://www.redfin.com/MA/Littleton/2-Farmstead-Way-01460/home/8565791,MLS PIN,72613147,N,Y,42.5484346,-71.4672493
MLS Listing,,Single Family Residential,1 Cypress Ct,North Providence,RI,2911,285000,3,1,North Providence,1886,8468,1993,14,151,,Active,,,http://www.redfin.com/RI/North-Providence/1-Cypress-Ct-02911/home/52031879,RIS,1245725,N,Y,41.8635785,-71.4749943
MLS Listing,,Single Family Residential,37 Myrtle St,Millis,MA,2054,539000,3,1.5,Rockville,1469,101930,1970,18,367,,Active,,,http://www.redfin.com/MA/Millis/37-Myrtle-St-02054/home/11494441,MLS PIN,72611124,N,Y,42.1338144,-71.3618424
MLS Listing,,Single Family Residential,18 Coolidge St,Tewksbury,MA,1876,609900,3,2.5,Tewksbury,1608,4375,2019,26,379,,Active,,,http://www.redfin.com/MA/Tewksbury/18-Coolidge-St-01876/home/8727315,MLS PIN,72608238,N,Y,42.5755491,-71.2147098
MLS Listing,,Single Family Residential,262 Glen Rd,Weston,MA,2493,1365000,4,5,Weston,3897,20099,1915,46,350,,Active,,,http://www.redfin.com/MA/Weston/262-Glen-Rd-02493/home/8793138,MLS PIN,72602586,N,Y,42.325586,-71.286023
MLS Listing,,Condo/Co-op,999 Hancock St #308,Quincy,MA,2169,429900,1,1,Quincy Center,749,,2017,67,574,233,Active,,,http://www.redfin.com/MA/Quincy/999-Hancock-St-02169/unit-308/home/113432564,MLS PIN,72598214,N,Y,42.2575886,-71.0086945
MLS Listing,,Single Family Residential,260 Ridge St,Millis,MA,2054,649000,4,3.5,Millis,3766,109771,1958,69,172,,Active,,,http://www.redfin.com/MA/Millis/260-Ridge-St-02054/home/11485647,MLS PIN,72597641,N,Y,42.1903815,-71.3731363
MLS Listing,,Single Family Residential,3 Kevin Cir,Framingham,MA,1701,650000,5,2.5,Framingham,2888,62988,1970,81,225,,Active,,,http://www.redfin.com/MA/Framingham/3-Kevin-Cir-01701/home/11637797,MLS PIN,72594938,N,Y,42.3397112,-71.4556546
MLS Listing,,Single Family Residential,8 Linden Rd,Sandwich,MA,2357,650000,4,3,East Sandwich,2632,39204,1969,96,247,57,Active,February-16-2020 10:00 AM,February-16-2020 11:30 AM,http://www.redfin.com/MA/STONEHILL-COL/8-Linden-RD-02357/home/169681636,MLS PIN,72589305,N,Y,42.0634409,-71.0824613
MLS Listing,,Single Family Residential,255 N Washington St,North Attleboro,MA,2760,489999,4,3.5,North Attleboro,3154,11565,1900,104,155,,Active,,,http://www.redfin.com/MA/North-Attleborough/255-N-Washington-St-02760/home/16058470,MLS PIN,72585766,N,Y,41.9895396,-71.3305942
MLS Listing,,Townhouse,22 Beacon St #22,Shrewsbury,MA,1545,570000,4,2.5,Shrewsbury,2395,,2017,124,238,,Active,,,http://www.redfin.com/MA/Shrewsbury/22-Beacon-St-01545/unit-22/home/169374681,MLS PIN,72577689,N,Y,42.2814168,-71.7321527
MLS Listing,,Single Family Residential,7 Cedar Brook Rd,Wellesley,MA,2482,999000,4,2.5,Wellesley,2588,10001,1997,208,386,,Active,,,http://www.redfin.com/MA/Wellesley/7-Cedar-Brook-Rd-02482/home/9000190,MLS PIN,72535602,N,Y,42.3066464,-71.3253979
MLS Listing,,Single Family Residential,20 Brookfield St,South Windsor,CT,6074,564000,6,4.5,South Windsor,5434,217800,1995,273,104,,Active,,,http://www.redfin.com/CT/South-Windsor/20-Brookfield-St-06074/home/166566839,Smart MLS,170192264,N,Y,41.8522549,-72.5715101
MLS Listing,,Single Family Residential,159 Linwood St,Lynn,MA,1905,429900,4,2,Lynn,1428,15007,1955,1,301,,Active,,,http://www.redfin.com/MA/Lynn/159-Linwood-St-01905/home/11545415,MLS PIN,72617839,N,Y,42.4745002,-70.9691455
MLS Listing,,Condo/Co-op,949 Pleasant Valley Rd Unit 1-8,South Windsor,CT,6074,124900,2,1.5,Pleasant Valley,1020,,1972,1,122,305,Active,,,http://www.redfin.com/CT/South-Windsor/949-Pleasant-Valley-Rd-06074/unit-1-8/home/54132440,Smart MLS,170261401,N,Y,41.8096745,-72.5813536
MLS Listing,,Single Family Residential,219 Oak St,Raynham,MA,2767,489900,4,2.5,Raynham,2544,71438,2005,1,193,,Active,,,http://www.redfin.com/MA/Raynham/219-Oak-St-02767/home/16072277,MLS PIN,72617836,N,Y,41.9525058,-71.0672979
